sensorId,timestamp,co2,humidity,light,motion,temperature
sensor09,2025-11-18T00:00:09Z,795.00,44.00,1.00,0.00,19.20
sensor09,2025-11-18T00:05:09Z,785.00,44.00,1.00,0.00,19.20
sensor09,2025-11-18T00:10:09Z,812.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:15:09Z,799.00,44.00,1.00,0.00,19.20
sensor09,2025-11-18T00:20:09Z,803.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:25:09Z,806.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:30:09Z,801.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:35:09Z,790.00,44.00,1.00,0.00,19.20
sensor09,2025-11-18T00:40:09Z,763.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:45:09Z,796.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:50:09Z,781.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T00:55:09Z,770.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:00:09Z,773.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:05:09Z,771.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:10:09Z,752.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:20:08Z,779.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:25:08Z,770.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:30:08Z,750.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:35:08Z,751.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:40:08Z,766.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T01:45:08Z,734.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T01:50:08Z,746.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T01:55:09Z,757.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:00:08Z,738.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T02:05:08Z,728.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:10:08Z,730.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T02:15:08Z,721.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:20:08Z,732.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T02:25:08Z,728.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T02:30:08Z,704.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:35:08Z,707.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:40:08Z,707.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:45:08Z,703.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:50:08Z,728.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T02:55:08Z,711.00,44.00,1.00,0.00,19.10
sensor09,2025-11-18T03:00:08Z,720.00,44.00,1.00,0.00,19.00
sensor09,2025-11-18T03:05:08Z,697.00,44.00,1.00,0.00,19.00
